nodes,connectivity,measure,value,p-value,param.
ALN vs TCR,regular,KL-MI,0.0360889020215647,0.0,right_border
ALN vs TCR,regular,MVL,24.76975126287376,0.0,right_border
ALN vs ALN,regular,KL-MI,0.027484632046845352,0.0,right_border
ALN vs ALN,regular,MVL,1.36598128429053,0.0,right_border
ALN vs TCR,regular,PLV,0.0016347424896612577,0.5569999999999999,right_border
ALN vs TCR,regular,MI,0.01290128956435032,0.0,right_border
ALN vs ALN,regular,PLV,0.019588173747420248,0.0,right_border
ALN vs ALN,regular,MI,0.041452464021563204,0.0,right_border
ALN vs TCR,regular,KL-MI,0.07110541194783068,0.0,left_border
ALN vs TCR,regular,MVL,13.840695137165888,0.0,left_border
ALN vs ALN,regular,KL-MI,0.14223214793921954,0.0,left_border
ALN vs ALN,regular,MVL,0.7917957507460763,0.0,left_border
ALN vs TCR,regular,PLV,0.0059624487273950595,0.0,left_border
ALN vs TCR,regular,MI,0.0016744260586908782,0.946,left_border
ALN vs ALN,regular,PLV,0.0014421604493939572,0.88,left_border
ALN vs ALN,regular,MI,0.003923524263617279,0.15400000000000003,left_border
ALN vs TCR,regular,KL-MI,0.05607591101408622,0.0,inside_lc
ALN vs TCR,regular,MVL,15.72894394149374,0.0,inside_lc
ALN vs ALN,regular,KL-MI,0.10597286952804666,0.0,inside_lc
ALN vs ALN,regular,MVL,1.0397102485022447,0.0,inside_lc
ALN vs TCR,regular,PLV,0.005134487813159455,0.0010000000000000009,inside_lc
ALN vs TCR,regular,MI,0.0023584418790581147,0.675,inside_lc
ALN vs ALN,regular,PLV,0.0038124012229912127,0.361,inside_lc
ALN vs ALN,regular,MI,0.0034867145920776436,0.391,inside_lc
ALN vs TCR,baseline,KL-MI,0.004044502123644196,0.030000000000000027,right_border
ALN vs TCR,baseline,MVL,26.848590323680003,0.0,right_border
ALN vs ALN,baseline,KL-MI,0.22825591257265437,0.0,right_border
ALN vs ALN,baseline,MVL,0.2503513011670495,0.0,right_border
ALN vs TCR,baseline,PLV,0.0032387080914925556,0.02200000000000002,right_border
ALN vs TCR,baseline,MI,0.0003286615403969193,1.0,right_border
ALN vs ALN,baseline,PLV,0.13991399170174446,0.0,right_border
ALN vs ALN,baseline,MI,0.23250141207537853,0.0,right_border
ALN vs TCR,baseline,KL-MI,0.1207540934023601,0.0,left_border
ALN vs TCR,baseline,MVL,3.683668698955807,0.18500000000000005,left_border
ALN vs ALN,baseline,KL-MI,0.35404158188331153,0.785,left_border
ALN vs ALN,baseline,MVL,0.0007379148941952326,0.788,left_border
ALN vs TCR,baseline,PLV,0.0006816011345518148,0.91,left_border
ALN vs TCR,baseline,MI,0.001263573124645704,1.0,left_border
ALN vs ALN,baseline,PLV,0.027578281873919114,0.04800000000000004,left_border
ALN vs ALN,baseline,MI,0.33682546441572336,0.0,left_border
ALN vs TCR,baseline,KL-MI,0.11406369737963921,0.0,inside_lc
ALN vs TCR,baseline,MVL,5.49638405845192,0.018000000000000016,inside_lc
ALN vs ALN,baseline,KL-MI,0.3709624068747237,0.724,inside_lc
ALN vs ALN,baseline,MVL,0.0011342317523497913,0.76,inside_lc
ALN vs TCR,baseline,PLV,0.0004888434055115297,0.951,inside_lc
ALN vs TCR,baseline,MI,0.0006460605010425416,1.0,inside_lc
ALN vs ALN,baseline,PLV,0.037242240757580994,0.0040000000000000036,inside_lc
ALN vs ALN,baseline,MI,0.16652531229368067,0.0,inside_lc
