nodes,connectivity,measure,value,p-value,param.
ALN vs TCR,regular,KL-MI,0.02862554492825697,0.0,right_border_long
ALN vs TCR,regular,MVL,21.153463451653685,0.0,right_border_long
ALN vs ALN,regular,KL-MI,0.01116996427651458,0.0,right_border_long
ALN vs ALN,regular,MVL,1.1039325866983858,0.0,right_border_long
ALN vs TCR,regular,PLV,0.0038678973256361694,0.027800000000000047,right_border_long
ALN vs TCR,regular,MI,0.009594626048590248,0.0,right_border_long
ALN vs ALN,regular,PLV,0.01021346744233085,0.0006000000000000449,right_border_long
ALN vs ALN,regular,MI,0.012000887376806529,0.0,right_border_long
ALN vs TCR,regular,KL-MI,0.027288753816735848,0.0,right_border_short
ALN vs TCR,regular,MVL,21.244977989012153,0.0,right_border_short
ALN vs ALN,regular,KL-MI,0.023736845510557637,0.0,right_border_short
ALN vs ALN,regular,MVL,1.1690702360937792,0.0,right_border_short
ALN vs TCR,regular,PLV,0.0023009786440633087,0.2894,right_border_short
ALN vs TCR,regular,MI,0.023078502038085962,0.0,right_border_short
ALN vs ALN,regular,PLV,0.014089619363988856,0.0,right_border_short
ALN vs ALN,regular,MI,0.0498380938575865,0.0,right_border_short
ALN vs TCR,regular,KL-MI,0.06381007661676363,0.0,left_border
ALN vs TCR,regular,MVL,9.150482753453426,0.00019999999999997797,left_border
ALN vs ALN,regular,KL-MI,0.1415497343598482,0.0,left_border
ALN vs ALN,regular,MVL,0.6284993101401303,0.0,left_border
ALN vs TCR,regular,PLV,0.005562766832237368,0.0011999999999999789,left_border
ALN vs TCR,regular,MI,0.003695739351432299,0.11240000000000006,left_border
ALN vs ALN,regular,PLV,0.004234682668426574,0.35640000000000005,left_border
ALN vs ALN,regular,MI,0.005393414927575627,0.01980000000000004,left_border
ALN vs TCR,regular,KL-MI,0.06480629117659108,0.0,inside_lc
ALN vs TCR,regular,MVL,18.01992368501173,0.0,inside_lc
ALN vs ALN,regular,KL-MI,0.1100610438234554,0.0,inside_lc
ALN vs ALN,regular,MVL,1.1252397989314649,0.0,inside_lc
ALN vs TCR,regular,PLV,0.003593604247518099,0.04820000000000002,inside_lc
ALN vs TCR,regular,MI,0.0017256253436927264,0.962,inside_lc
ALN vs ALN,regular,PLV,0.0057878947256996245,0.14439999999999997,inside_lc
ALN vs ALN,regular,MI,0.00421420243847325,0.1472,inside_lc
ALN vs TCR,baseline,KL-MI,0.0018219271156724988,0.0006000000000000449,right_border_long
ALN vs TCR,baseline,MVL,2.6992003768495136,0.0,right_border_long
ALN vs ALN,baseline,KL-MI,0.0007506551877136235,0.0,right_border_long
ALN vs ALN,baseline,MVL,0.06132260958169273,0.39559999999999995,right_border_long
ALN vs TCR,baseline,PLV,0.0014888877999218943,0.5892,right_border_long
ALN vs TCR,baseline,MI,0.004216711719625305,0.3456,right_border_long
ALN vs ALN,baseline,PLV,0.00948860203988675,0.0030000000000000027,right_border_long
ALN vs ALN,baseline,MI,0.0047347091780469575,0.28059999999999996,right_border_long
ALN vs TCR,baseline,KL-MI,0.015931698222775376,0.0,right_border_short
ALN vs TCR,baseline,MVL,16.34527767028296,0.0,right_border_short
ALN vs ALN,baseline,KL-MI,0.004080790536188764,0.0,right_border_short
ALN vs ALN,baseline,MVL,0.7771818302898621,0.0,right_border_short
ALN vs TCR,baseline,PLV,0.0038995130246269167,0.015199999999999991,right_border_short
ALN vs TCR,baseline,MI,0.006142147323885721,0.00660000000000005,right_border_short
ALN vs ALN,baseline,PLV,0.008469100545000413,0.0020000000000000018,right_border_short
ALN vs ALN,baseline,MI,0.01154671108928962,0.0,right_border_short
ALN vs TCR,baseline,KL-MI,0.023741675592231514,0.0,left_border
ALN vs TCR,baseline,MVL,19.511603945663055,0.0,left_border
ALN vs ALN,baseline,KL-MI,0.02357906262277279,0.0,left_border
ALN vs ALN,baseline,MVL,1.0548365052653805,0.0,left_border
ALN vs TCR,baseline,PLV,0.001276233407983885,0.6688000000000001,left_border
ALN vs TCR,baseline,MI,0.022013791351782278,0.0,left_border
ALN vs ALN,baseline,PLV,0.01675264489339613,0.0,left_border
ALN vs ALN,baseline,MI,0.043624555039206175,0.0,left_border
ALN vs TCR,baseline,KL-MI,0.026566120222776893,0.0,inside_lc
ALN vs TCR,baseline,MVL,21.615197247550707,0.0,inside_lc
ALN vs ALN,baseline,KL-MI,0.018207988287454464,0.0,inside_lc
ALN vs ALN,baseline,MVL,1.1536456472123584,0.0,inside_lc
ALN vs TCR,baseline,PLV,0.0031615446033253993,0.11819999999999997,inside_lc
ALN vs TCR,baseline,MI,0.02272217691911732,0.0,inside_lc
ALN vs ALN,baseline,PLV,0.018405114037740773,0.0,inside_lc
ALN vs ALN,baseline,MI,0.038752755035190656,0.0,inside_lc
