nodes,connectivity,measure,value,p-value,param.
ALN vs TCR,regular,KL-MI,0.008015621305888777,0.0,right_border_long
ALN vs TCR,regular,MVL,8.457603406996903,0.0,right_border_long
ALN vs TCR,regular,PLV,0.0019474884262436073,0.258,right_border_long
ALN vs TCR,regular,MI,0.005315140696756832,0.07699999999999996,right_border_long
ALN vs TCR,regular,KL-MI,0.01918284169366285,0.0,right_border_short
ALN vs TCR,regular,MVL,13.290470152698889,0.0,right_border_short
ALN vs TCR,regular,PLV,0.0012448054313389226,0.528,right_border_short
ALN vs TCR,regular,MI,0.006137358572158095,0.02100000000000002,right_border_short
ALN vs TCR,regular,KL-MI,0.027663849843151418,0.0,left_border
ALN vs TCR,regular,MVL,8.69370495619169,0.0,left_border
ALN vs TCR,regular,PLV,0.0024280347900877282,0.04500000000000004,left_border
ALN vs TCR,regular,MI,0.0019173319124429875,0.16300000000000003,left_border
ALN vs TCR,regular,KL-MI,0.007005903627429746,0.0,inside_lc
ALN vs TCR,regular,MVL,8.737594598081172,0.0,inside_lc
ALN vs TCR,regular,PLV,0.003338352179638263,0.0020000000000000018,inside_lc
ALN vs TCR,regular,MI,0.0020576024093823015,0.39,inside_lc
ALN vs TCR,baseline,KL-MI,0.002481591883872431,0.0030000000000000027,right_border_long
ALN vs TCR,baseline,MVL,16.05261773136946,0.0,right_border_long
ALN vs TCR,baseline,PLV,0.0027263413336122855,0.06399999999999995,right_border_long
ALN vs TCR,baseline,MI,0.005071150961416063,0.01100000000000001,right_border_long
ALN vs TCR,baseline,KL-MI,0.00025424802620750697,0.614,right_border_short
ALN vs TCR,baseline,MVL,7.529242531563374,0.0,right_border_short
ALN vs TCR,baseline,PLV,0.0013082630311634779,0.387,right_border_short
ALN vs TCR,baseline,MI,0.0020210002152725413,0.755,right_border_short
ALN vs TCR,baseline,KL-MI,0.0003094207394853362,0.31699999999999995,left_border
ALN vs TCR,baseline,MVL,4.593086963339325,0.841,left_border
ALN vs TCR,baseline,PLV,0.0003612523403948927,0.908,left_border
ALN vs TCR,baseline,MI,0.003629067627126823,0.09099999999999997,left_border
ALN vs TCR,baseline,KL-MI,0.00011269990890174152,0.874,inside_lc
ALN vs TCR,baseline,MVL,2.547934297403673,0.72,inside_lc
ALN vs TCR,baseline,PLV,0.0015292387467534334,0.275,inside_lc
ALN vs TCR,baseline,MI,0.0034061432752515728,0.16400000000000003,inside_lc
