nodes,connectivity,measure,value,p-value,param.
ALN vs TCR,regular,KL-MI,0.021550860689274025,0.0,right_border_long
ALN vs TCR,regular,MVL,16.28547556559545,0.0,right_border_long
ALN vs ALN,regular,KL-MI,0.009865852745467689,0.0,right_border_long
ALN vs ALN,regular,MVL,0.9190291922134883,0.0,right_border_long
ALN vs TCR,regular,PLV,0.004181012321989057,0.0,right_border_long
ALN vs TCR,regular,MI,0.009139892361409663,0.0,right_border_long
ALN vs ALN,regular,PLV,0.010343097845591846,0.0,right_border_long
ALN vs ALN,regular,MI,0.005649448966296683,0.0010000000000000009,right_border_long
ALN vs TCR,regular,KL-MI,0.04254251686661577,0.0,right_border_short
ALN vs TCR,regular,MVL,23.471372467530184,0.0,right_border_short
ALN vs ALN,regular,KL-MI,0.0417005806842189,0.0,right_border_short
ALN vs ALN,regular,MVL,1.4112698696699846,0.0,right_border_short
ALN vs TCR,regular,PLV,0.0008694655158830776,0.727,right_border_short
ALN vs TCR,regular,MI,0.010688571749824525,0.0,right_border_short
ALN vs ALN,regular,PLV,0.015799254933492313,0.0,right_border_short
ALN vs ALN,regular,MI,0.02486568099091412,0.0,right_border_short
ALN vs TCR,regular,KL-MI,0.0660898273627108,0.0,left_border
ALN vs TCR,regular,MVL,12.808529613392652,0.833,left_border
ALN vs ALN,regular,KL-MI,0.14939485646272113,0.0,left_border
ALN vs ALN,regular,MVL,0.8628095639726063,0.0050000000000000044,left_border
ALN vs TCR,regular,PLV,0.004460115725925633,0.0010000000000000009,left_border
ALN vs TCR,regular,MI,0.0012953489966955258,0.351,left_border
ALN vs ALN,regular,PLV,0.0058478127022542625,0.17400000000000004,left_border
ALN vs ALN,regular,MI,0.0020933754748282563,0.16100000000000003,left_border
ALN vs TCR,regular,KL-MI,0.05892554548048779,0.0,inside_lc
ALN vs TCR,regular,MVL,18.047969016178513,0.125,inside_lc
ALN vs ALN,regular,KL-MI,0.1192286060594628,0.0,inside_lc
ALN vs ALN,regular,MVL,1.119325639502464,0.0,inside_lc
ALN vs TCR,regular,PLV,0.0033827108261835375,0.02400000000000002,inside_lc
ALN vs TCR,regular,MI,0.0019332581793910417,0.061000000000000054,inside_lc
ALN vs ALN,regular,PLV,0.008101024948677342,0.06399999999999995,inside_lc
ALN vs ALN,regular,MI,0.004064699851890421,0.0,inside_lc
ALN vs TCR,baseline,KL-MI,0.003847687378785926,0.0,right_border_long
ALN vs TCR,baseline,MVL,3.125884639279444,0.0,right_border_long
ALN vs ALN,baseline,KL-MI,0.0004754269606952612,0.04800000000000004,right_border_long
ALN vs ALN,baseline,MVL,0.02086400046977937,0.929,right_border_long
ALN vs TCR,baseline,PLV,0.0007709947852658845,0.751,right_border_long
ALN vs TCR,baseline,MI,0.0016603039807568053,0.926,right_border_long
ALN vs ALN,baseline,PLV,0.0010922709868828508,0.898,right_border_long
ALN vs ALN,baseline,MI,0.0035415688123036897,0.17300000000000004,right_border_long
ALN vs TCR,baseline,KL-MI,0.021305225707164026,0.0,right_border_short
ALN vs TCR,baseline,MVL,15.955115775316656,0.0,right_border_short
ALN vs ALN,baseline,KL-MI,0.007244100061150455,0.0,right_border_short
ALN vs ALN,baseline,MVL,0.9150816768698785,0.0,right_border_short
ALN vs TCR,baseline,PLV,0.0011567128188471757,0.585,right_border_short
ALN vs TCR,baseline,MI,0.005042391700954629,0.0010000000000000009,right_border_short
ALN vs ALN,baseline,PLV,0.007785547070189607,0.007000000000000006,right_border_short
ALN vs ALN,baseline,MI,0.0049066123846471105,0.014000000000000012,right_border_short
ALN vs TCR,baseline,KL-MI,0.03216857165024409,0.0,left_border
ALN vs TCR,baseline,MVL,20.830711297497565,0.0,left_border
ALN vs ALN,baseline,KL-MI,0.032622705399556036,0.0,left_border
ALN vs ALN,baseline,MVL,1.222411360282298,0.0,left_border
ALN vs TCR,baseline,PLV,0.001945083767187515,0.13,left_border
ALN vs TCR,baseline,MI,0.013165569755204828,0.0,left_border
ALN vs ALN,baseline,PLV,0.01973114284539217,0.0,left_border
ALN vs ALN,baseline,MI,0.025096394301737306,0.0,left_border
ALN vs TCR,baseline,KL-MI,0.03732895063234789,0.0,inside_lc
ALN vs TCR,baseline,MVL,22.59654849988327,0.0,inside_lc
ALN vs ALN,baseline,KL-MI,0.028174522405939182,0.0,inside_lc
ALN vs ALN,baseline,MVL,1.2685684323030528,0.0,inside_lc
ALN vs TCR,baseline,PLV,0.002879242966675661,0.01100000000000001,inside_lc
ALN vs TCR,baseline,MI,0.009934484774368616,0.0,inside_lc
ALN vs ALN,baseline,PLV,0.01663947439755747,0.0,inside_lc
ALN vs ALN,baseline,MI,0.018092458204725336,0.0,inside_lc
